system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861760+203987,1379.0,17.0,1286.0,1025.5,1141.5,1011.5,1041.5,1056.5,1133.5,1262.0,1169.0,1348.5,322.0,18.32450890193309,77.41326284004809,0.0576656237244606,-0.04774728789925575,0.0,0.0,0.0,
0_+861760+203988,1379.0,17.0,1277.0,1012.0,1145.0,1018.0,1048.0,1039.0,1134.5,1223.0,1168.0,1340.5,322.0,18.3245987334615,77.41326284004809,0.05425553396344185,-0.044557761400938034,0.0,0.0,0.0,
0_+861760+203989,1379.0,17.0,1277.0,1012.0,1143.0,1004.0,1033.0,1039.0,1134.5,1223.0,1136.0,1340.5,322.0,18.324688564989913,77.41326284004809,0.047392308712005615,-0.05850912630558014,0.0,0.0,0.0,
0_+861760+203990,1379.0,17.0,1398.5,1078.0,1134.0,990.5,1021.5,1073.5,1169.5,1299.0,1153.0,1395.5,322.0,18.324778396518326,77.41326284004809,0.060579121112823486,-0.09602135419845581,0.0,0.0,0.0,
0_+861761+203981,1379.0,16.5,1479.5,1084.5,1156.5,1036.5,1075.5,1140.0,1324.5,1501.5,1373.5,1617.5,352.0,18.323969912762617,77.4133526715765,0.12103253602981567,-0.037718139588832855,0.0,0.0,0.0,
0_+861761+203982,1379.0,16.5,1383.5,1058.5,1165.0,1036.0,1096.0,1130.0,1245.0,1376.0,1271.0,1497.0,352.0,18.32405974429103,77.4133526715765,0.07397138327360153,-0.04251746088266373,0.0,0.0,0.0,
0_+861761+203983,1379.0,16.5,1383.5,1058.5,1156.0,1036.0,1083.5,1130.0,1245.0,1376.0,1210.5,1497.0,352.0,18.32414957581944,77.4133526715765,0.05526477470993996,-0.06677042692899704,0.0,0.0,0.0,
0_+861761+203984,1379.0,16.5,1325.5,1054.5,1148.5,1015.5,1046.5,1094.0,1149.0,1280.5,1169.0,1367.0,352.0,18.324239407347854,77.4133526715765,0.05529557168483734,-0.06278092414140701,0.0,0.0,0.0,
0_+861761+203985,1379.0,16.5,1325.5,1054.5,1149.0,1020.0,1054.0,1094.0,1149.0,1280.5,1176.0,1367.0,352.0,18.324329238876263,77.4133526715765,0.05503217503428459,-0.05976454168558121,0.0,0.0,0.0,
0_+861761+203986,1379.0,17.0,1286.0,1025.5,1149.0,1017.5,1058.0,1056.5,1133.5,1262.0,1171.5,1348.5,322.0,18.324419070404677,77.4133526715765,0.050895173102617264,-0.04667733982205391,0.0,0.0,0.0,
0_+861761+203987,1379.0,17.0,1286.0,1025.5,1153.0,1005.0,1039.5,1056.5,1133.5,1262.0,1148.5,1348.5,322.0,18.32450890193309,77.4133526715765,0.04997134581208229,-0.056479595601558685,0.0,0.0,0.0,
0_+861761+203988,1379.0,17.0,1277.0,1012.0,1143.5,1019.5,1057.0,1039.0,1134.5,1223.0,1163.5,1340.5,322.0,18.3245987334615,77.4133526715765,0.048134561628103256,-0.04649491235613823,0.0,0.0,0.0,
0_+861761+203989,1379.0,17.0,1277.0,1012.0,1150.0,1022.0,1042.5,1039.0,1134.5,1223.0,1168.0,1340.5,322.0,18.324688564989913,77.4133526715765,0.056736502796411514,-0.04464608430862427,0.0,0.0,0.0,
0_+861761+203990,1379.0,17.0,1398.5,1078.0,1155.0,1015.5,1058.5,1073.5,1169.5,1299.0,1202.5,1395.5,322.0,18.324778396518326,77.4133526715765,0.06371639668941498,-0.07521991431713104,0.0,0.0,0.0,
