system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861775+204025,1373.5,17.5,1272.0,955.5,1106.0,945.5,943.5,1002.5,1075.0,1201.5,1028.5,1322.5,321.0,18.327922500012743,77.41461031297428,0.04352090507745743,-0.1055726408958435,0.0,0.0,0.0,
0_+861775+204026,1373.5,17.5,1205.0,899.5,1101.0,940.0,937.0,978.5,1034.5,1157.0,1039.5,1253.5,321.0,18.328012331541156,77.41461031297428,0.05234970152378082,-0.07366767525672913,0.0,0.0,0.0,
0_+861775+204027,1373.5,17.5,1205.0,899.5,1108.5,952.5,946.0,978.5,1034.5,1157.0,1039.0,1253.5,321.0,18.328102163069566,77.41461031297428,0.04721491038799286,-0.0738920271396637,0.0,0.0,0.0,
0_+861775+204028,1373.5,16.5,1274.5,977.0,1107.5,951.0,952.0,1031.0,1083.0,1218.0,1051.5,1291.5,329.0,18.32819199459798,77.41461031297428,0.05013778433203697,-0.09523794054985046,0.0,0.0,0.0,
0_+861775+204029,1373.5,16.5,1274.5,977.0,1104.5,956.0,959.5,1031.0,1083.0,1218.0,1085.0,1291.5,329.0,18.32828182612639,77.41461031297428,0.06213167682290077,-0.07981103658676147,0.0,0.0,0.0,
0_+861775+204030,1373.5,16.5,1534.5,1182.0,1149.0,1007.5,1071.0,1122.0,1245.0,1374.0,1229.5,1494.5,329.0,18.328371657654802,77.41461031297428,0.06943481415510178,-0.1106019988656044,0.0,0.0,0.0,
0_+861775+204031,1373.5,16.5,1534.5,1182.0,1185.0,1075.0,1149.5,1122.0,1245.0,1374.0,1351.5,1494.5,329.0,18.328461489183216,77.41461031297428,0.08109303563833237,-0.06255560368299484,0.0,0.0,0.0,
0_+861775+204032,1373.5,16.5,1483.0,1136.5,1166.0,1042.0,1100.5,1111.0,1225.5,1370.0,1303.0,1488.5,329.0,18.328551320711625,77.41461031297428,0.0840437114238739,-0.06467820703983307,0.0,0.0,0.0,
0_+861775+204033,1373.5,16.5,1483.0,1136.5,1139.0,984.5,1027.5,1111.0,1225.5,1370.0,1146.0,1488.5,329.0,18.32864115224004,77.41461031297428,0.054231055080890656,-0.12833738327026367,0.0,0.0,0.0,
0_+861775+204034,1378.0,17.0,1357.0,1019.5,1125.0,992.0,1005.5,1047.0,1154.5,1262.5,1166.5,1410.5,342.5,18.328730983768452,77.41461031297428,0.07445887476205826,-0.07573279738426208,0.0,0.0,0.0,
0_+861776+204023,1373.5,17.5,1524.5,1143.0,1187.5,1097.0,1154.5,1116.5,1225.0,1359.0,1384.0,1503.0,321.0,18.32774283695592,77.41470014450267,0.0878881886601448,-0.05046558380126953,0.0,0.0,0.0,
0_+861776+204024,1373.5,17.5,1272.0,955.5,1141.0,1005.5,1032.0,1002.5,1075.0,1201.5,1218.0,1322.5,321.0,18.32783266848433,77.41470014450267,0.08123786002397537,-0.022802915424108505,0.0,0.0,0.0,
0_+861776+204025,1373.5,17.5,1272.0,955.5,1108.0,967.5,956.0,1002.5,1075.0,1201.5,1113.5,1322.5,321.0,18.327922500012743,77.41470014450267,0.07570455968379974,-0.06676431745290756,0.0,0.0,0.0,
0_+861776+204026,1373.5,17.5,1205.0,899.5,1096.0,952.0,957.0,978.5,1034.5,1157.0,1104.0,1253.5,321.0,18.328012331541156,77.41470014450267,0.07132460176944733,-0.043759167194366455,0.0,0.0,0.0,
0_+861776+204027,1373.5,17.5,1205.0,899.5,1097.0,958.5,969.5,978.5,1034.5,1157.0,1097.5,1253.5,321.0,18.328102163069566,77.41470014450267,0.06222224235534668,-0.04660511389374733,0.0,0.0,0.0,
0_+861776+204028,1373.5,16.5,1274.5,977.0,1117.0,956.5,999.5,1031.0,1083.0,1218.0,1102.0,1291.5,329.0,18.32819199459798,77.41470014450267,0.04891163483262062,-0.07196100056171417,0.0,0.0,0.0,
0_+861776+204029,1373.5,16.5,1274.5,977.0,1134.5,970.5,1004.5,1031.0,1083.0,1218.0,1126.5,1291.5,329.0,18.32828182612639,77.41470014450267,0.05751216411590576,-0.061147551983594894,0.0,0.0,0.0,
0_+861776+204030,1373.5,16.5,1534.5,1182.0,1159.0,1032.0,1086.5,1122.0,1245.0,1374.0,1267.5,1494.5,329.0,18.328371657654802,77.41470014450267,0.07777263224124908,-0.09483693540096283,0.0,0.0,0.0,
0_+861776+204031,1450.0,25.0,1622.0,1208.0,1231.0,1107.0,1208.0,1145.0,1294.0,1397.0,1392.0,1540.0,269.0,18.328461489183216,77.41470014450267,0.07076922804117203,-0.07631055265665054,0.0,0.0,0.0,
0_+861776+204032,1373.5,16.5,1483.0,1136.5,1166.0,1042.0,1100.5,1111.0,1225.5,1370.0,1303.0,1488.5,329.0,18.328551320711625,77.41470014450267,0.0840437114238739,-0.06467820703983307,0.0,0.0,0.0,
0_+861776+204033,1373.5,16.5,1483.0,1136.5,1139.0,984.5,1027.5,1111.0,1225.5,1370.0,1146.0,1488.5,329.0,18.32864115224004,77.41470014450267,0.054231055080890656,-0.12833738327026367,0.0,0.0,0.0,
0_+861776+204034,1378.0,17.0,1357.0,1019.5,1125.0,992.0,1005.5,1047.0,1154.5,1262.5,1166.5,1410.5,342.5,18.328730983768452,77.41470014450267,0.07445887476205826,-0.07573279738426208,0.0,0.0,0.0,
0_+861777+204023,1384.5,17.0,1756.0,1321.0,1199.5,1104.0,1215.0,1260.5,1366.5,1541.5,1472.5,1659.0,349.5,18.32774283695592,77.41478997603109,0.09496977180242538,-0.08825306594371796,0.0,0.0,0.0,
0_+861777+204024,1314.0,9.0,1363.0,1057.0,1122.0,986.0,1060.0,1027.0,1169.0,1249.0,1296.0,1385.0,425.0,18.32783266848433,77.41478997603109,0.10016977787017822,-0.02519744262099266,0.0,0.0,0.0,
0_+861777+204025,1384.5,17.0,1320.5,1005.0,1118.0,984.0,970.0,1012.0,1157.5,1255.5,1199.0,1381.5,349.5,18.327922500012743,77.41478997603109,0.10604894906282425,-0.047972507774829865,0.0,0.0,0.0,
0_+861777+204026,1384.5,17.0,1260.0,946.0,1128.5,988.0,991.5,996.0,1107.0,1237.5,1221.0,1332.5,349.5,18.328012331541156,77.41478997603109,0.1041574701666832,-0.01565644145011902,0.0,0.0,0.0,
0_+861777+204027,1455.0,25.0,1282.0,950.0,1208.0,1087.0,1087.0,1031.0,1111.0,1299.0,1236.0,1390.0,274.0,18.328102163069566,77.41478997603109,0.06414119899272919,-0.018268467858433723,0.0,0.0,0.0,
0_+861777+204028,1373.5,16.5,1274.5,977.0,1117.0,956.5,999.5,1031.0,1083.0,1218.0,1102.0,1291.5,329.0,18.32819199459798,77.41478997603109,0.04891163483262062,-0.07196100056171417,0.0,0.0,0.0,
0_+861777+204029,1373.5,16.5,1274.5,977.0,1134.5,970.5,1004.5,1031.0,1083.0,1218.0,1126.5,1291.5,329.0,18.32828182612639,77.41478997603109,0.05751216411590576,-0.061147551983594894,0.0,0.0,0.0,
0_+861777+204030,1373.5,16.5,1534.5,1182.0,1159.0,1032.0,1086.5,1122.0,1245.0,1374.0,1267.5,1494.5,329.0,18.328371657654802,77.41478997603109,0.07777263224124908,-0.09483693540096283,0.0,0.0,0.0,
0_+861777+204031,1450.0,25.0,1622.0,1208.0,1231.0,1107.0,1208.0,1145.0,1294.0,1397.0,1392.0,1540.0,269.0,18.328461489183216,77.41478997603109,0.07076922804117203,-0.07631055265665054,0.0,0.0,0.0,
0_+861777+204032,1373.5,16.5,1483.0,1136.5,1181.5,1051.0,1158.0,1111.0,1225.5,1370.0,1356.5,1488.5,329.0,18.328551320711625,77.41478997603109,0.07867980003356934,-0.04479013755917549,0.0,0.0,0.0,
0_+861777+204033,1373.5,16.5,1483.0,1136.5,1153.0,1001.0,1055.5,1111.0,1225.5,1370.0,1196.0,1488.5,329.0,18.32864115224004,77.41478997603109,0.06178141012787819,-0.10756402462720871,0.0,0.0,0.0,
0_+861777+204034,1378.0,17.0,1357.0,1019.5,1130.0,1011.0,1028.0,1047.0,1154.5,1262.5,1219.0,1410.5,342.5,18.328730983768452,77.41478997603109,0.08538267016410828,-0.05350290611386299,0.0,0.0,0.0,
0_+861778+204023,1384.5,17.0,1756.0,1321.0,1168.0,1073.0,1152.5,1260.5,1366.5,1541.5,1390.5,1659.0,349.5,18.32774283695592,77.4148798075595,0.09244783222675323,-0.11704787611961365,0.0,0.0,0.0,
0_+861778+204024,1314.0,9.0,1363.0,1057.0,1122.0,986.0,1060.0,1027.0,1169.0,1249.0,1296.0,1385.0,425.0,18.32783266848433,77.4148798075595,0.10016977787017822,-0.02519744262099266,0.0,0.0,0.0,
0_+861778+204025,1384.5,17.0,1320.5,1005.0,1118.0,984.0,970.0,1012.0,1157.5,1255.5,1199.0,1381.5,349.5,18.327922500012743,77.4148798075595,0.10604894906282425,-0.047972507774829865,0.0,0.0,0.0,
0_+861778+204026,1384.5,17.0,1260.0,946.0,1128.5,988.0,991.5,996.0,1107.0,1237.5,1221.0,1332.5,349.5,18.328012331541156,77.4148798075595,0.1041574701666832,-0.01565644145011902,0.0,0.0,0.0,
0_+861778+204027,1455.0,25.0,1282.0,950.0,1208.0,1087.0,1087.0,1031.0,1111.0,1299.0,1236.0,1390.0,274.0,18.328102163069566,77.4148798075595,0.06414119899272919,-0.018268467858433723,0.0,0.0,0.0,
0_+861778+204028,1377.0,16.5,1453.5,1096.0,1153.5,1075.0,1116.5,1100.0,1223.0,1333.0,1332.5,1510.0,341.0,18.32819199459798,77.4148798075595,0.08824200183153152,-0.04254433512687683,0.0,0.0,0.0,
0_+861778+204029,1377.0,16.5,1453.5,1096.0,1176.0,1061.0,1174.0,1100.0,1223.0,1333.0,1393.0,1510.0,341.0,18.32828182612639,77.4148798075595,0.0851963683962822,-0.020521925762295723,0.0,0.0,0.0,
0_+861778+204030,1377.0,16.5,1770.0,1291.0,1222.0,1111.5,1244.0,1275.0,1388.5,1567.5,1534.0,1715.5,341.0,18.328371657654802,77.4148798075595,0.10434210300445557,-0.07131275534629822,0.0,0.0,0.0,
0_+861778+204031,1377.0,16.5,1770.0,1291.0,1242.0,1174.0,1307.0,1275.0,1388.5,1567.5,1656.5,1715.5,341.0,18.328461489183216,77.4148798075595,0.11780881136655807,-0.03276924788951874,0.0,0.0,0.0,
0_+861778+204032,1452.0,24.0,1567.0,1131.0,1237.0,1154.0,1232.0,1145.0,1277.0,1420.0,1440.0,1585.0,278.0,18.328551320711625,77.4148798075595,0.07784431427717209,-0.04223478585481644,0.0,0.0,0.0,
0_+861778+204033,1377.0,16.5,1595.5,1201.5,1163.5,1061.0,1138.0,1181.0,1315.5,1475.0,1369.0,1623.5,341.0,18.32864115224004,77.4148798075595,0.09181267023086548,-0.07663726806640625,0.0,0.0,0.0,
0_+861779+204023,1384.5,17.0,1756.0,1321.0,1168.0,1073.0,1152.5,1260.5,1366.5,1541.5,1390.5,1659.0,349.5,18.32774283695592,77.41496963908791,0.09244783222675323,-0.11704787611961365,0.0,0.0,0.0,
0_+861779+204024,1384.5,17.0,1320.5,1005.0,1124.5,975.0,1007.5,1012.0,1157.5,1255.5,1133.5,1381.5,349.5,18.32783266848433,77.41496963908791,0.05861983075737953,-0.07616158574819565,0.0,0.0,0.0,
0_+861779+204025,1384.5,17.0,1320.5,1005.0,1106.5,960.0,948.0,1012.0,1157.5,1255.5,1095.5,1381.5,349.5,18.327922500012743,77.41496963908791,0.07264775037765503,-0.09287245571613312,0.0,0.0,0.0,
0_+861779+204026,1384.5,17.0,1260.0,946.0,1112.0,964.0,977.0,996.0,1107.0,1237.5,1131.0,1332.5,349.5,18.328012331541156,77.41496963908791,0.0734701007604599,-0.0541839674115181,0.0,0.0,0.0,
0_+861779+204027,1384.5,17.0,1260.0,946.0,1121.5,964.5,998.0,996.0,1107.0,1237.5,1137.5,1332.5,349.5,18.328102163069566,77.41496963908791,0.06634170562028885,-0.051197074353694916,0.0,0.0,0.0,
0_+861779+204028,1377.0,16.5,1453.5,1096.0,1145.0,995.0,1016.0,1100.0,1223.0,1333.0,1164.5,1510.0,341.0,18.32819199459798,77.41496963908791,0.06922895461320877,-0.1098327785730362,0.0,0.0,0.0,
